R (a.u.),Phase (deg),Uncorrected phase (deg),Noise (a.u.),X (a.u.),Y (a.u.),Sin Harmonic n,Sin Harmonic n+1,Sin Harmonic n+2,Cos Harmonic n,Cos Harmonic n+1,Cos Harmonic n+2,Higher harmonic number n
873.49834,-12.22405,-0.21335,404.21676,-853.69286,184.95364,-26.49068,-227.90877,-40.71041,-47.58663,164.58222,-29.99054,2
780.64036,-12.22291,-0.21333,428.66067,-762.94454,165.27252,-23.67001,-203.68845,-36.37208,-42.52093,147.06857,-26.79951,2
695.60456,-12.22119,-0.21330,447.48017,-679.84057,147.24981,-21.08762,-181.50777,-32.40099,-37.88350,131.03077,-23.87805,2
618.19612,-12.21947,-0.21327,460.89752,-604.19064,130.84387,-18.73715,-161.31598,-28.78660,-33.66369,116.43224,-21.21959,2
548.09301,-12.21718,-0.21323,469.25949,-535.67997,115.98671,-16.60902,-143.02936,-25.51446,-29.84325,103.21153,-18.81200,2
484.88903,-12.21489,-0.21319,472.99488,-473.91158,102.59233,-14.69026,-126.54240,-22.56481,-26.40000,91.29176,-16.64206,2
428.12894,-12.21202,-0.21314,472.58030,-418.44075,90.56335,-12.96695,-111.73585,-19.91620,-23.30827,80.58753,-14.69330,2
377.33357,-12.20916,-0.21309,468.51323,-368.79914,79.79862,-11.42525,-98.48537,-17.54655,-20.54159,71.00852,-12.95032,2
332.0168,-12.20572,-0.21303,461.29175,-324.51164,70.19506,-10.04968,-86.66500,-15.43301,-18.07340,62.46240,-11.39553,2
291.70025,-12.20171,-0.21296,451.39939,-285.11082,61.65108,-8.82541,-76.14902,-13.55303,-15.87793,54.85939,-10.01341,2
255.92275,-12.19655,-0.21287,439.29449,-250.14597,54.06894,-7.73908,-66.81621,-11.88453,-13.92996,48.11303,-8.78696,2
224.24561,-12.1914,-0.21278,425.40305,-219.18828,47.356,-6.77760,-58.55234,-10.40781,-12.20508,42.13963,-7.70099,2
196.25713,-12.18509,-0.21267,410.11447,-191.83546,41.42483,-5.92773,-51.25034,-9.10343,-10.68093,36.86219,-6.74240,2
171.57449,-12.17822,-0.21255,393.77944,-167.71345,36.19395,-5.17825,-44.81187,-7.95392,-9.33667,32.20790,-5.89657,2
